path	disposition	upstream role	planned UTF-8/document interface
custom/chars.ts	port	JSON character and packed literal constants	Byte constants and little-endian UTF-8 packed literals
deserialize/error.ts	port	production parse failure state	Result-header error code plus exact failure cursor
deserialize/helpers/uint.ts	deferred	unclassified snapshot source	Review before activation
deserialize/index.ts	deferred	deserialize dispatch barrel	Stable json-ty tier interface selected at compilation
deserialize/index/arbitrary.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/array.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/index/bool.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/index/date.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/float.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/index/integer.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/index/map.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/object.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/index/raw.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/set.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/staticarray.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/string.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/index/typedarray.ts	unsupported	GC/container dispatch	No target in current document-slot domain
deserialize/index/unsigned.ts	deferred	type-dispatch entry point	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/arbitrary.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/array/array.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/bool.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/box.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/array/float.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/generic.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/integer.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/map.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/array/object.ts	algorithm donor	naive dynamic object/value parser	Bounded UTF-8 oracle writing document slots
deserialize/naive/array/raw.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/array/string.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/array/struct.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/bool.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/date.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/float.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/integer.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/map.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/object.ts	algorithm donor	naive dynamic object/value parser	Bounded UTF-8 oracle writing document slots
deserialize/naive/raw.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/set.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/staticarray.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/staticarray/array.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/staticarray/bool.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/staticarray/float.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/staticarray/integer.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/staticarray/string.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/staticarray/struct.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/string.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/naive/typedarray.ts	unsupported	naive GC/container parser	No target in current document-slot domain
deserialize/naive/unsigned.ts	deferred	naive RFC parser kernel	(start, end, destination slot/config) -> cursor or error
deserialize/parseMode.ts	algorithm donor	pretty/minified tracing and cached masks	Compile-time tier state; retain trace ideas only if measured
deserialize/simd/array/integer.ts	deferred	SIMD parser kernel	Bounded UTF-8 SIMD tier after SWAR parity
deserialize/simd/float.ts	deferred	SIMD parser kernel	Bounded UTF-8 SIMD tier after SWAR parity
deserialize/simd/integer.ts	deferred	SIMD parser kernel	Bounded UTF-8 SIMD tier after SWAR parity
deserialize/simd/string.ts	deferred	SIMD parser kernel	Bounded UTF-8 SIMD tier after SWAR parity
deserialize/string-validation.ts	port	escape validation	(start, end) -> validation/error result over UTF-8 bytes
deserialize/swar/array.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/arbitrary.ts	unsupported	SWAR GC/container parser	No target in current document-slot domain
deserialize/swar/array/array.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/bool.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/box.ts	unsupported	SWAR GC/container parser	No target in current document-slot domain
deserialize/swar/array/float.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/generic.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/integer.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/map.ts	unsupported	SWAR GC/container parser	No target in current document-slot domain
deserialize/swar/array/object.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/raw.ts	unsupported	SWAR GC/container parser	No target in current document-slot domain
deserialize/swar/array/shared.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/string.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/array/struct.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/float.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/integer.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/string.ts	port	SWAR deserialize kernel	(start, end, destination slot/config) -> cursor or error
deserialize/swar/typedarray.ts	unsupported	SWAR GC/container parser	No target in current document-slot domain
globals/tables.ts	port	escape lookup tables	Byte-oriented immutable tables for bounded readers and writers
index.d.ts	unsupported	host declarations for json-as API	No target; json-ty declarations remain authoritative
index.ts	unsupported	json-as GC public API	No target; json-ty generated/document APIs remain authoritative
serialize/index.ts	deferred	serialize dispatch barrel	Stable json-ty tier interface selected at compilation
serialize/index/arbitrary.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/index/array.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/bool.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/date.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/index/float.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/integer.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/jsonarray.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/map.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/index/object.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/raw.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/index/set.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/index/staticarray.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/index/string.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
serialize/index/struct.ts	deferred	serialize dispatch entry point	(source slot/span, writer) -> bytes or required capacity
